№,Наличие согласия,Согласие в МГУ,Сумма баллов,Математика (ДВИ),Математика (ЕГЭ),Физика,Русский язык,Индивидуальные достижения - аттестат,Индивидуальные достижения - сочинение,Индивидуальные достижения - ГТО,Преимущественное право зачисления,Право на общежитие,Статус
686,Нет,Да,331,80,78,81,90,0,2,0,Нет,Нет,В конкурсе
687,Нет,Нет,331,65,84,80,94,6,2,0,Нет,Нет,В конкурсе
688,Нет,Да,331,60,95,98,76,0,2,0,Нет,Да,В конкурсе
689,Нет,Да,331,60,82,87,100,0,2,0,Нет,Нет,В конкурсе
690,Нет,Да,331,50,94,91,88,6,2,0,Нет,Нет,В конкурсе
691,Нет,Нет,330,75,88,81,84,0,2,0,Нет,Да,В конкурсе
692,Нет,Да,330,75,72,85,94,0,2,2,Нет,Да,В конкурсе
693,Нет,Да,330,70,84,78,90,6,2,0,Нет,Да,В конкурсе
694,Нет,Да,330,65,92,89,82,0,2,0,Нет,Да,В конкурсе
695,Нет,Да,330,65,82,97,84,0,2,0,Нет,Нет,В конкурсе
696,Да,Да,330,65,78,85,94,6,2,0,Нет,Нет,В конкурсе
697,Нет,Да,330,55,98,87,88,0,2,0,Нет,Да,В конкурсе
698,Нет,Да,330,55,88,83,100,0,2,2,Нет,Нет,В конкурсе
699,Нет,Да,330,55,86,85,96,6,2,0,Нет,Нет,В конкурсе
700,Нет,Нет,329,80,96,61,90,0,2,0,Нет,Нет,В конкурсе
701,Нет,Да,329,80,72,85,82,6,2,2,Нет,Нет,В конкурсе
702,Нет,Нет,329,75,94,76,82,0,2,0,Нет,Да,В конкурсе
703,Нет,Да,329,75,82,68,96,6,2,0,Нет,Да,В конкурсе
704,Нет,Нет,329,70,88,83,86,0,2,0,Нет,Нет,В конкурсе
705,Нет,Да,329,70,82,86,89,0,2,0,Нет,Да,В конкурсе
706,Нет,Нет,329,70,80,83,86,6,2,2,Нет,Да,В конкурсе
707,Нет,Нет,329,70,78,83,88,6,2,2,Нет,Да,В конкурсе
708,Нет,Нет,329,60,90,91,84,0,2,2,Нет,Нет,В конкурсе
709,Нет,Нет,329,60,90,89,88,0,2,0,Нет,Да,В конкурсе
710,Нет,Да,329,60,86,83,92,6,2,0,Нет,Да,В конкурсе
711,Нет,Да,329,55,88,100,84,0,2,0,Нет,Да,В конкурсе
712,Нет,Нет,329,55,86,80,100,6,2,0,Нет,Нет,В конкурсе
713,Нет,Да,329,50,90,83,98,6,2,0,Нет,Да,В конкурсе
714,Да,Да,328,85,88,93,60,0,2,0,Нет,Да,В конкурсе
715,Нет,Да,328,80,90,72,78,6,2,0,Нет,Да,В конкурсе
716,Нет,Нет,328,80,78,80,88,0,2,0,Нет,Да,В конкурсе
717,Нет,Нет,328,70,98,78,80,0,2,0,Нет,Нет,В конкурсе
718,Нет,Да,328,70,92,76,88,0,2,0,Нет,Нет,В конкурсе
719,Нет,Да,328,70,88,76,86,6,2,0,Нет,Нет,В конкурсе
720,Нет,Да,328,70,86,78,92,0,2,0,Нет,Нет,В конкурсе
721,Нет,Да,328,70,78,80,98,0,2,0,Нет,Нет,В конкурсе
722,Нет,Да,328,60,78,100,86,0,2,2,Нет,Нет,В конкурсе
723,Нет,Нет,328,55,88,87,90,6,2,0,Нет,Да,В конкурсе
724,Нет,Нет,328,55,86,87,92,6,2,0,Нет,Да,В конкурсе
725,Нет,Нет,328,55,84,93,94,0,2,0,Нет,Нет,В конкурсе
726,Нет,Нет,328,55,82,87,96,6,2,0,Нет,Да,В конкурсе
727,Нет,Да,328,55,78,93,100,0,2,0,Нет,Нет,В конкурсе
728,Нет,Да,328,50,84,100,84,6,2,2,Нет,Да,В конкурсе
729,Нет,Да,327,75,74,89,87,0,2,0,Нет,Нет,В конкурсе
730,Нет,Нет,327,70,78,89,88,0,2,0,Нет,Нет,В конкурсе
731,Нет,Да,327,65,92,95,73,0,2,0,Нет,Да,В конкурсе
732,Нет,Нет,327,65,92,76,86,6,2,0,Нет,Да,В конкурсе
733,Нет,Нет,327,60,88,91,80,6,2,0,Нет,Да,В конкурсе
734,Нет,Нет,327,60,88,81,90,6,2,0,Нет,Нет,В конкурсе
735,Нет,Да,327,60,80,89,96,0,2,0,Нет,Нет,В конкурсе
736,Нет,Нет,327,60,74,87,98,6,2,0,Нет,Да,В конкурсе
737,Нет,Нет,327,55,90,76,96,6,2,2,Нет,Нет,В конкурсе
738,Нет,Да,326,80,84,74,86,0,2,0,Нет,Нет,В конкурсе
739,Нет,Да,326,75,80,89,80,0,2,0,Нет,Нет,В конкурсе
740,Нет,Нет,326,65,88,83,82,6,2,0,Нет,Да,В конкурсе
741,Нет,Нет,326,65,78,93,88,0,2,0,Нет,Да,В конкурсе
742,Нет,Нет,326,65,76,91,90,0,2,2,Нет,Да,В конкурсе
743,Нет,Да,326,60,86,100,78,0,2,0,Нет,Да,В конкурсе
744,Нет,Нет,326,55,90,83,90,6,2,0,Нет,Да,В конкурсе
745,Нет,Нет,326,55,78,83,100,6,2,2,Нет,Нет,В конкурсе
746,Нет,Нет,325,65,86,80,86,6,2,0,Нет,Да,В конкурсе
747,Нет,Да,325,65,82,78,100,0,0,0,Нет,Нет,В конкурсе
748,Нет,Нет,325,60,82,85,96,0,2,0,Нет,Нет,В конкурсе
749,Нет,Нет,325,55,90,80,92,6,2,0,Нет,Да,В конкурсе
750,Нет,Нет,325,50,90,87,96,0,2,0,Нет,Нет,В конкурсе
751,Нет,Да,325,50,82,97,94,0,2,0,Нет,Нет,В конкурсе
752,Нет,Нет,325,50,82,89,94,6,2,2,Нет,Нет,В конкурсе
753,Нет,Нет,324,100,92,58,72,0,2,0,Нет,Нет,В конкурсе
754,Нет,Да,324,65,80,83,94,0,2,0,Нет,Да,В конкурсе
755,Нет,Да,324,65,74,83,94,6,2,0,Нет,Нет,В конкурсе
756,Нет,Да,324,60,82,83,91,6,2,0,Нет,Да,В конкурсе
757,Нет,Нет,323,70,84,89,78,0,2,0,Нет,Нет,В конкурсе
758,Нет,Нет,323,60,88,85,88,0,2,0,Нет,Да,В конкурсе
759,Нет,Да,323,60,86,97,78,0,2,0,Нет,Да,В конкурсе
760,Нет,Да,323,60,84,88,89,0,2,0,Нет,Да,В конкурсе
761,Нет,Да,323,60,82,87,86,6,2,0,Нет,Нет,В конкурсе
762,Нет,Да,322,80,78,76,86,0,2,0,Нет,Да,В конкурсе
763,Нет,Да,322,65,80,85,90,0,2,0,Нет,Да,В конкурсе
764,Нет,Нет,322,55,92,100,73,0,2,0,Нет,Нет,В конкурсе
765,Нет,Да,322,55,86,85,94,0,2,0,Нет,Нет,В конкурсе
766,Нет,Нет,322,55,80,91,94,0,2,0,Нет,Да,В конкурсе
767,Нет,Да,321,90,82,66,73,6,2,2,Нет,Нет,В конкурсе
768,Нет,Да,321,85,74,80,80,0,2,0,Нет,Нет,В конкурсе
769,Нет,Нет,321,70,95,70,86,0,0,0,Нет,Да,В конкурсе
770,Нет,Нет,321,65,84,70,94,6,2,0,Нет,Нет,В конкурсе
771,Нет,Да,321,60,92,91,76,0,2,0,Нет,Да,В конкурсе
772,Нет,Нет,321,60,92,85,82,0,2,0,Нет,Нет,В конкурсе
773,Нет,Да,321,60,88,80,91,0,2,0,Нет,Нет,В конкурсе
774,Нет,Да,321,60,86,81,86,6,2,0,Нет,Да,В конкурсе
775,Нет,Нет,321,60,82,81,94,0,2,2,Нет,Да,В конкурсе
776,Нет,Да,321,60,80,87,86,6,2,0,Нет,Нет,В конкурсе
777,Нет,Да,321,60,78,89,92,0,2,0,Нет,Да,В конкурсе
778,Нет,Да,321,55,86,78,94,6,2,0,Нет,Нет,В конкурсе
779,Нет,Нет,321,50,88,95,84,0,2,2,Нет,Нет,В конкурсе
780,Нет,Нет,321,50,86,93,88,0,2,2,Нет,Да,В конкурсе
781,Нет,Да,320,80,80,74,84,0,2,0,Нет,Да,В конкурсе
782,Нет,Нет,320,65,82,91,80,0,2,0,Нет,Да,В конкурсе
783,Нет,Нет,320,65,78,81,92,0,2,2,Нет,Да,В конкурсе
784,Нет,Нет,320,60,84,80,94,0,2,0,Нет,Да,В конкурсе
785,Нет,Нет,320,55,88,85,88,0,2,2,Нет,Нет,В конкурсе
786,Нет,Нет,320,55,80,93,90,0,2,0,Нет,Да,В конкурсе
787,Нет,Нет,320,55,74,93,96,0,2,0,Нет,Нет,В конкурсе
788,Нет,Да,319,75,86,72,84,0,2,0,Нет,Нет,В конкурсе
789,Нет,Да,319,70,84,81,82,0,2,0,Нет,Нет,В конкурсе
790,Нет,Да,319,65,90,72,88,0,2,2,Нет,Да,В конкурсе
791,Нет,Да,319,65,88,81,85,0,0,0,Нет,Да,В конкурсе
792,Нет,Да,319,60,88,83,86,0,2,0,Нет,Да,В конкурсе
793,Нет,Нет,319,60,80,87,90,0,2,0,Нет,Нет,В конкурсе
794,Нет,Нет,319,55,84,90,82,6,2,0,Нет,Да,В конкурсе
795,Нет,Да,319,55,74,86,96,6,2,0,Нет,Да,В конкурсе
796,Нет,Нет,319,50,80,93,94,0,2,0,Нет,Нет,В конкурсе
797,Нет,Нет,319,50,78,97,92,0,2,0,Нет,Да,В конкурсе
798,Нет,Да,318,70,82,70,88,6,2,0,Нет,Нет,В конкурсе
799,Нет,Да,318,70,76,72,92,6,2,0,Нет,Нет,В конкурсе
800,Нет,Нет,318,50,90,74,94,6,2,2,Нет,Да,В конкурсе
801,Нет,Да,317,65,78,76,96,0,2,0,Нет,Нет,В конкурсе
802,Нет,Да,317,60,84,85,86,0,2,0,Нет,Нет,В конкурсе
803,Нет,Нет,317,55,86,68,98,6,2,2,Нет,Нет,В конкурсе
804,Нет,Нет,317,55,82,78,94,6,2,0,Нет,Да,В конкурсе
805,Нет,Нет,316,80,86,68,80,0,2,0,Нет,Да,В конкурсе
806,Нет,Нет,316,70,76,72,96,0,2,0,Нет,Нет,В конкурсе
807,Нет,Да,316,60,72,100,82,0,2,0,Нет,Да,В конкурсе
808,Нет,Да,316,55,94,87,78,0,2,0,Нет,Да,В конкурсе
809,Нет,Да,316,55,88,91,82,0,0,0,Нет,Нет,В конкурсе
810,Нет,Да,316,50,80,100,84,0,2,0,Нет,Да,В конкурсе
811,Нет,Нет,315,65,90,68,90,0,2,0,Нет,Нет,В конкурсе
812,Нет,Нет,315,60,96,81,76,0,2,0,Нет,Да,В конкурсе
813,Нет,Да,315,60,78,81,94,0,2,0,Нет,Да,В конкурсе
814,Нет,Да,315,55,82,70,98,6,2,2,Нет,Нет,В конкурсе
815,Нет,Нет,315,55,80,76,96,6,2,0,Нет,Да,В конкурсе
816,Нет,Да,314,80,84,81,67,0,2,0,Нет,Нет,В конкурсе
817,Нет,Нет,314,70,78,70,94,0,2,0,Нет,Нет,В конкурсе
818,Нет,Нет,314,65,78,91,78,0,2,0,Нет,Да,В конкурсе
819,Нет,Да,314,60,94,87,73,0,0,0,Нет,Нет,В конкурсе
820,Нет,Да,314,55,76,85,96,0,2,0,Нет,Нет,В конкурсе
821,Нет,Нет,313,75,76,68,92,0,2,0,Нет,Нет,В конкурсе
822,Нет,Нет,313,65,78,78,90,0,2,0,Нет,Нет,В конкурсе
823,Нет,Да,313,60,88,89,76,0,0,0,Нет,Да,В конкурсе
824,Нет,Нет,313,50,76,93,92,0,2,0,Нет,Да,В конкурсе
825,Нет,Да,312,70,86,78,76,0,2,0,Нет,Да,В конкурсе
826,Да,Да,312,60,90,78,82,0,2,0,Нет,Да,В конкурсе
827,Нет,Нет,312,55,76,85,88,6,2,0,Нет,Да,В конкурсе
828,Нет,Да,311,65,84,72,88,0,2,0,Нет,Нет,В конкурсе
829,Нет,Да,311,50,82,87,90,0,2,0,Нет,Да,В конкурсе
830,Нет,Нет,311,50,82,83,88,6,2,0,Нет,Да,В конкурсе
831,Нет,Да,310,70,80,60,92,6,2,0,Нет,Нет,В конкурсе
832,Нет,Нет,309,55,80,74,90,6,2,2,Нет,Нет,В конкурсе
833,Нет,Да,308,90,62,60,94,0,2,0,Нет,Нет,В конкурсе
834,Нет,Да,308,80,72,62,86,6,2,0,Нет,Нет,В конкурсе
835,Нет,Да,308,80,68,76,80,0,2,2,Нет,Нет,В конкурсе
836,Нет,Нет,308,70,80,78,78,0,2,0,Нет,Нет,В конкурсе
837,Нет,Нет,308,65,78,83,80,0,2,0,Нет,Нет,В конкурсе
838,Нет,Нет,308,60,98,70,78,0,2,0,Нет,Да,В конкурсе
839,Нет,Нет,308,60,92,62,92,0,2,0,Нет,Да,В конкурсе
840,Нет,Нет,308,55,84,83,84,0,2,0,Нет,Да,В конкурсе
841,Нет,Да,308,55,76,99,78,0,0,0,Нет,Да,В конкурсе
842,Нет,Нет,308,50,80,78,92,6,2,0,Нет,Да,В конкурсе
843,Нет,Нет,308,50,80,74,96,6,2,0,Нет,Да,В конкурсе
844,Нет,Да,307,75,76,72,82,0,2,0,Нет,Да,В конкурсе
845,Нет,Да,307,75,70,80,80,0,2,0,Нет,Нет,В конкурсе
846,Нет,Да,307,60,82,83,80,0,2,0,Нет,Нет,В конкурсе
847,Нет,Да,306,65,82,59,90,6,2,2,Нет,Нет,В конкурсе
848,Нет,Да,306,60,90,74,80,0,2,0,Нет,Да,В конкурсе
849,Нет,Нет,306,50,86,68,100,0,2,0,Нет,Да,В конкурсе
850,Нет,Нет,305,65,82,74,82,0,2,0,Нет,Нет,В конкурсе
851,Нет,Нет,305,60,86,78,73,6,2,0,Нет,Да,В конкурсе
852,Нет,Нет,305,55,86,64,98,0,2,0,Нет,Да,В конкурсе
853,Нет,Нет,305,50,80,91,82,0,2,0,Нет,Да,В конкурсе
854,Нет,Да,304,70,78,66,88,0,2,0,Нет,Нет,В конкурсе
855,Нет,Нет,304,50,88,91,73,0,2,0,Нет,Да,В конкурсе
856,Нет,Нет,304,50,84,90,78,0,2,0,Нет,Да,В конкурсе
857,Нет,Да,303,75,76,60,86,6,0,0,Нет,Да,В конкурсе
858,Нет,Нет,303,60,68,85,88,0,2,0,Нет,Нет,В конкурсе
859,Нет,Да,303,55,90,76,80,0,2,0,Нет,Да,В конкурсе
860,Нет,Нет,303,50,84,83,78,6,2,0,Нет,Да,В конкурсе
861,Нет,Да,302,80,72,62,86,0,2,0,Нет,Нет,В конкурсе
862,Нет,Да,302,65,74,81,80,0,2,0,Нет,Да,В конкурсе
863,Нет,Да,302,60,80,76,84,0,2,0,Нет,Нет,В конкурсе
864,Нет,Да,301,80,80,57,82,0,2,0,Нет,Нет,В конкурсе
865,Нет,Нет,301,65,80,68,86,0,2,0,Нет,Нет,В конкурсе
866,Нет,Нет,301,55,90,64,90,0,2,0,Нет,Да,В конкурсе
867,Нет,Да,301,55,86,72,86,0,2,0,Нет,Да,В конкурсе
868,Нет,Нет,301,50,76,85,88,0,2,0,Нет,Нет,В конкурсе
869,Нет,Нет,301,50,72,83,88,6,2,0,Нет,Нет,В конкурсе
870,Нет,Да,300,60,84,72,82,0,2,0,Нет,Нет,В конкурсе
871,Нет,Да,300,55,72,83,88,0,2,0,Нет,Нет,В конкурсе
872,Нет,Да,299,65,99,61,72,0,2,0,Нет,Да,В конкурсе
873,Нет,Да,299,55,76,80,86,0,2,0,Нет,Нет,В конкурсе
874,Нет,Нет,299,55,68,80,86,6,2,2,Нет,Да,В конкурсе
875,Нет,Да,299,50,82,89,76,0,2,0,Нет,Нет,В конкурсе
876,Нет,Да,299,50,78,83,86,0,2,0,Нет,Да,В конкурсе
877,Нет,Да,298,55,74,85,80,0,2,2,Нет,Да,В конкурсе
878,Нет,Нет,298,50,84,76,84,0,2,2,Нет,Да,В конкурсе
879,Нет,Нет,297,60,88,76,71,0,2,0,Нет,Нет,В конкурсе
880,Нет,Нет,296,50,82,74,88,0,2,0,Нет,Нет,В конкурсе
881,Нет,Нет,295,60,86,61,86,0,2,0,Нет,Да,В конкурсе
882,Нет,Да,293,65,74,64,88,0,2,0,Нет,Нет,В конкурсе
883,Нет,Нет,293,65,62,64,100,0,2,0,Нет,Нет,В конкурсе
884,Нет,Нет,293,55,82,60,94,0,2,0,Нет,Да,В конкурсе
885,Нет,Нет,293,50,78,83,80,0,2,0,Нет,Нет,В конкурсе
886,Нет,Да,292,70,62,58,98,0,2,2,Нет,Нет,В конкурсе
887,Нет,Да,292,50,78,72,90,0,2,0,Нет,Да,В конкурсе
888,Нет,Да,291,55,80,70,84,0,2,0,Нет,Да,В конкурсе
889,Нет,Нет,291,55,70,78,80,6,2,0,Нет,Нет,В конкурсе
890,Нет,Да,289,55,80,81,71,0,2,0,Нет,Да,В конкурсе
891,Нет,Да,288,50,82,68,88,0,0,0,Нет,Да,В конкурсе
892,Нет,Да,288,50,76,70,90,0,2,0,Нет,Нет,В конкурсе
893,Нет,Да,287,75,78,60,72,0,2,0,Нет,Да,В конкурсе
894,Нет,Нет,286,50,78,80,76,0,2,0,Нет,Нет,В конкурсе
895,Нет,Нет,285,55,74,64,88,0,2,2,Нет,Нет,В конкурсе
896,Нет,Да,283,70,70,64,73,6,0,0,Нет,Да,В конкурсе
897,Нет,Да,283,55,68,70,88,0,2,0,Нет,Нет,В конкурсе
898,Нет,Да,282,60,80,60,80,0,2,0,Нет,Нет,В конкурсе
899,Нет,Да,281,65,74,68,72,0,2,0,Нет,Нет,В конкурсе
900,Нет,Да,280,65,70,55,82,6,2,0,Нет,Да,В конкурсе
901,Нет,Да,277,55,72,64,78,6,2,0,Нет,Да,В конкурсе
902,Нет,Нет,275,50,78,57,80,6,2,2,Нет,Да,В конкурсе
903,Нет,Да,272,60,70,60,80,0,2,0,Нет,Нет,В конкурсе
904,Нет,Да,270,70,70,57,69,0,2,2,Нет,Нет,В конкурсе
905,Нет,Нет,268,65,62,61,76,0,2,2,Нет,Нет,В конкурсе
