№,Наличие согласия,Согласие в МГУ,Сумма баллов,Математика (ДВИ),Математика (ЕГЭ),Физика,Русский язык,Индивидуальные достижения - аттестат,Индивидуальные достижения - сочинение,Индивидуальные достижения - ГТО,Преимущественное право зачисления,Право на общежитие,Статус
225,Нет,Нет,371,80,98,87,98,6,2,0,Нет,Да,В конкурсе
226,Нет,Да,371,80,96,93,100,0,2,0,Нет,Нет,В конкурсе
227,Нет,Нет,371,80,90,99,94,6,2,0,Нет,Да,В конкурсе
228,Нет,Да,371,80,90,97,96,6,2,0,Нет,Да,В конкурсе
229,Нет,Да,371,75,96,100,98,0,2,0,Нет,Да,В конкурсе
230,Нет,Да,370,100,99,85,84,0,2,0,Нет,Да,В конкурсе
231,Нет,Да,370,100,86,85,91,6,2,0,Нет,Да,В конкурсе
232,Нет,Да,370,90,98,92,82,6,2,0,Нет,Да,В конкурсе
233,Нет,Да,370,85,100,87,96,0,2,0,Нет,Нет,В конкурсе
234,Нет,Да,370,85,94,93,94,0,2,2,Нет,Нет,В конкурсе
235,Нет,Да,370,85,88,95,92,6,2,2,Нет,Да,В конкурсе
236,Нет,Да,370,80,92,100,94,0,2,2,Нет,Нет,В конкурсе
237,Нет,Нет,369,100,98,87,82,0,2,0,Нет,Да,В конкурсе
238,Да,Да,369,100,88,83,96,0,2,0,Нет,Нет,В конкурсе
239,Нет,Да,369,90,94,91,92,0,2,0,Нет,Нет,В конкурсе
240,Нет,Да,369,90,94,87,94,0,2,2,Нет,Нет,В конкурсе
241,Нет,Да,369,90,90,95,84,6,2,2,Нет,Да,В конкурсе
242,Нет,Да,369,85,84,100,98,0,2,0,Нет,Да,В конкурсе
243,Нет,Нет,369,80,98,97,92,0,2,0,Нет,Да,В конкурсе
244,Нет,Да,369,80,98,95,94,0,2,0,Нет,Нет,В конкурсе
245,Нет,Да,369,80,94,98,89,6,2,0,Нет,Да,В конкурсе
246,Нет,Да,369,80,94,97,90,6,2,0,Нет,Да,В конкурсе
247,Нет,Да,369,80,94,93,94,6,2,0,Нет,Да,В конкурсе
248,Нет,Да,369,80,92,95,92,6,2,2,Нет,Нет,В конкурсе
249,Нет,Нет,369,80,88,99,94,6,2,0,Нет,Да,В конкурсе
250,Нет,Да,369,80,88,93,100,6,2,0,Нет,Нет,В конкурсе
